Date,open,high,low,close,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA
6-9-2022,16263.85,16492.8,16243.85,16478.1,15975.71,15693.49,15711.47667,15742.0225,16047.86894,15871.71018,15845.07561,15878.98559,16597.8291,15975.71,15353.5909,15786.52458,15774.71803,15687.37965,15629.66455,17992.2,15929.02778,15610.41333,15643.49727,52.62456117,38.76021711,38.68874393,-139.4929487,104.3070951,171.2668151,211.7110825,176.1587562,168.8833526,-7.277999667,-34.05869633,-106.2195152,921.45,697.85,345.2,7.275106441,5.923190404,2.139726893,-0.881635843,63.08253744,76.17479796,89.97168724,84.66418588,98.23603528,89.97168724,100,100,54.48107178,-1.122651596,285.4305196,291,16404.91667,21.90563004,0.543620765
6-8-2022,16474.95,16514.3,16293.35,16356.25,16108.53,15787.785,15748.62,15760.345,16150.66262,15959.80833,15908.97241,15924.43934,16715.1527,16108.53,15501.9073,15805.53656,15853.0349,15701.69009,15635.63389,17992.2,16133.19444,15726.62333,15643.24545,57.29602089,39.07118175,37.2248272,-100.8044872,66.64047738,120.5129961,161.9754139,190.854295,226.2232861,35.36686731,-15.59706125,-58.00295814,942.95,557.15,366.45,4.232052332,6.117768421,2.291773506,-0.636467458,59.32268795,69.20074145,89.10941743,87.73813263,81.51137626,89.10941743,80.4706588,93.4902196,52.508022,-11.87542265,280.8247682,220.95,16387.96667,21.20661998,1.152622346
6-7-2022,16469.6,16487.25,16347.1,16416.35,16245.38,15865.54,15786.36333,15790.62,16239.22508,16042.81591,15972.39461,15971.28797,16750.87213,16245.38,15739.88787,15820.30679,15917.3989,15731.96555,15640.25555,17992.2,16304.57222,15856.34667,15655.30318,61.03318867,39.35104993,35.8341063,-46.45897436,60.33928425,93.10042368,133.6569263,196.409177,267.9371099,71.52619538,0.992769642,-14.77114897,777.55,566.15,605.5,4.349387558,4.971928792,3.829648627,-0.293016409,60.57096525,70.71221835,89.31682356,89.46597608,88.20305914,89.31682356,85.87901575,88.78322485,59.48765583,-7.359681419,270.7765705,140.15,16416.9,20.84785391,0.99749311
6-6-2022,16530.7,16610.95,16444.55,16569.55,16404.41,15987.48,15835.53,15827.33,16349.33339,16138.58574,16047.03903,16028.26531,16651.33379,16404.41,16157.48621,15839.99552,16100.79588,15775.3991,15651.7189,17992.2,16403.22222,16009.465,15680.01045,65.04049697,40.18961699,34.75003147,30.23173077,139.6444187,91.27179361,126.0118896,210.7476474,321.0680795,110.3190106,18.67409088,31.48934139,1219.4,737.5,734.2,5.040762248,7.943896314,4.636462093,0.19043513,63.63446457,74.37566666,86.75664253,88.39429451,90.55549219,86.75664253,100,88.78322485,59.30669544,-2.900073553,265.3353869,194.6,16541.68333,20.98205349,0.989818854
6-3-2022,16761.65,16793.85,16567.9,16584.3,16480.91,16116.56,15894.53333,15868.9425,16427.65559,16219.6247,16114.19665,16081.22099,16655.86725,16480.91,16305.95275,15857.57708,16258.45835,15827.71635,15674.20214,17992.2,16462.56111,16161.19167,15720.86318,69.31158725,41.6876464,34.04353265,94.85801282,122.0498273,94.59006095,116.0392976,208.030895,346.4345984,138.4025403,32.88848102,68.55110061,1290.8,885.05,832.25,2.360848795,8.440187008,5.283439298,0.596995049,63.92508418,74.72355889,80.21951711,85.4309944,61.9,80.21951711,100,95.29300525,56.14455329,-13.01189109,262.522145,225.95,16648.68333,21.09313471,0.26515067
6-2-2022,16481.65,16646.4,16443.05,16628,16510.89,16243.3,15965.95667,15911.33,16494.43706,16293.87475,16178.42207,16133.29519,16721.40578,16510.89,16300.37422,15876.59876,16378.33541,15880.46048,15706.3796,17992.2,16521.57778,16287.63833,15777.40636,65.51131329,41.52499748,33.06265158,185.6762821,44.20544205,72.68255669,88.35307736,200.5623092,361.1418764,160.5786157,45.05060559,100.2929222,1267.4,1071.35,847.75,0.909692258,8.250979779,5.372221606,1.16741446,64.82205736,75.83444682,73.10620968,80.02745644,66.86313686,73.10620968,100,100,60.25173223,-10.29836381,258.2955632,203.35,16572.48333,20.97314947,0.700195785
6-1-2022,16594.4,16649.2,16438.85,16522.75,16544.19,16326.36,16039.92,15947.5125,16503.87471,16335.48843,16221.46306,16170.38612,16688.63043,16544.19,16399.74957,15898.69827,16408.07477,15912.52049,15726.90307,17992.2,16565.23333,16382.385,15845.31545,62.22833973,41.32782332,32.12042961,273.1195513,-7.935131027,57.35435137,72.75699252,168.3862739,333.4885878,165.1015353,51.01019699,115.6229201,830.6,1109.45,723.65,1.017959496,5.293092406,4.580324196,1.715584811,60.89488216,67.65058155,56.02680947,69.78417875,39.31729155,56.02680947,7.619616215,69.20653874,54.72061688,-16.83380422,254.8708801,210.35,16536.93333,20.75373163,0.710832118
5-31-2022,16578.45,16690.75,16521.9,16584.55,16577.83,16411.605,16102.97,15984.23,16530.76647,16380.77235,16266.84893,16209.8303,16645.39575,16577.83,16510.26425,15924.32423,16444.98877,15946.58431,15747.31181,17992.2,16583.57778,16460.60167,15921.94636,60.52628025,41.38207336,31.30488715,352.2403846,36.45971104,73.9445078,73.15160986,149.9941169,320.9361728,170.941419,56.96022831,131.2458766,852.45,945.75,734.35,1.024588292,5.418539165,4.633064567,2.209403145,62.33771233,69.83508329,49.07422731,59.40241549,41.04225352,49.07422731,36.73964363,48.11975328,48.98480771,-12.99636747,248.7265315,168.85,16599.06667,20.54800383,0.779793992
5-30-2022,16527.9,16695.5,16506.15,16661.4,16596.2,16500.305,16190.38667,16025.6975,16574.31098,16431.79556,16316.16781,16252.83694,16689.72867,16596.2,16502.67133,15959.63369,16491.32998,15988.49244,15765.80906,17992.2,16582.11667,16519.07167,16007.71455,57.89661303,41.20549066,30.48757441,400.2977564,51.67569329,76.68467782,71.16918035,142.5154181,321.4740439,178.9581048,63.2797742,148.1208895,887,1311.25,829.35,0.554330081,5.623034791,5.238424588,2.505698129,64.11101502,72.47650001,47.68322864,50.92808847,62.69014085,47.68322864,81.89430568,42.08452184,54.14473308,-9.079691517,244.4853507,189.35,16621.01667,20.35331835,0.788280163
5-27-2022,16296.6,16370.6,16221.95,16352.45,16549.83,16515.37,16260.98333,16058.3575,16500.35732,16417.3691,16320.70309,16262.3239,16767.92371,16549.83,16331.73629,15995.34362,16488.65807,16002.49703,15770.11388,17992.2,16566.93333,16543.30833,16095.37636,51.04736604,37.67355748,29.00716275,432.1051282,-166.6666667,-128.0835299,9.631897048,82.98822371,238.0334252,155.0447751,58.33447691,135.0084821,150.65,1058.95,653.2,-1.39800896,0.929834957,4.160708314,2.701435987,53.25510088,51.68330101,43.7634008,46.84028558,27.55780805,43.7634008,0,39.54464977,51.40403911,-38.91043724,258.4113971,439.45,16315,20.24346716,0.920871858
